year,district,state,st_cen_code,dt_cen_code,censuscode,area_km,water,vegetation,builtup,agriculture,barren
2020,Ghaziabad,Uttar Pradesh,9,9,140,1977.55,9.32,16.33,212.62,1606.99,134.08
2020,Gurgaon,Haryana,6,18,86,1237.25,5.10,16.34,264.67,756.38,194.85
2020,Jhajjar,Haryana,6,15,83,1937.9,7.52,34.84,179.30,1614.82,101.34
2020,Meerut,Uttar Pradesh,9,7,138,2612.99,20.58,28.59,167.29,2308.66,90.60
2020,Rohtak,Haryana,6,14,82,1720.41,3.09,22.82,171.56,1464.94,57.55
2020,Sonipat,Haryana,6,8,76,2157.98,3.96,11.74,164.42,1916.06,61.79
1990,North,Delhi,7,2,91,69.08,3.63,1.74,32.50,28.89,2.32
1990,New Delhi,Delhi,7,5,94,38.5,0.53,11.88,19.40,5.80,0.89
1990,North West,Delhi,7,1,90,443.09,1.69,3.55,80.40,305.38,52.24
1990,North East,Delhi,7,3,92,62.52,0.94,0.14,27.96,26.53,6.96
1990,South West,Delhi,7,8,97,434.52,0.69,16.23,69.46,264.81,83.41
1990,East,Delhi,7,4,93,65.27,1.31,0.66,26.02,29.26,8.06
1990,South,Delhi,7,9,98,253.77,3.98,5.96,47.78,103.45,92.69
1990,Central,Delhi,7,6,95,15.1,0.38,1.38,11.40,1.82,0.12
1990,West,Delhi,7,7,96,122.12,0.08,1.03,66.34,46.74,7.95
1995,North,Delhi,7,2,91,69.08,3.55,3.37,39.33,20.48,2.35
1995,New Delhi,Delhi,7,5,94,38.5,0.48,7.06,25.27,5.19,0.50
1995,North West,Delhi,7,1,90,443.09,0.86,4.36,118.88,292.17,26.99
1995,North East,Delhi,7,3,92,62.52,0.90,1.34,33.52,23.29,3.48
1995,South West,Delhi,7,8,97,434.52,1.06,10.86,80.19,272.98,69.52
1995,East,Delhi,7,4,93,65.27,1.27,0.55,24.94,33.65,4.90
1995,South,Delhi,7,9,98,253.77,4.17,4.74,52.03,96.74,96.18
1995,Central,Delhi,7,6,95,15.1,0.30,0.78,12.27,1.70,0.05
1995,West,Delhi,7,7,96,122.12,0.18,0.27,70.77,45.63,5.28
2000,North,Delhi,7,2,91,69.08,2.77,6.66,33.40,19.93,6.31
2000,New Delhi,Delhi,7,5,94,38.5,0.31,16.53,18.50,1.83,1.34
2000,North West,Delhi,7,1,90,443.09,1.00,19.02,123.51,250.58,49.15
2000,North East,Delhi,7,3,92,62.52,0.89,1.81,43.61,10.39,5.82
2000,South West,Delhi,7,8,97,434.52,1.26,33.20,107.46,210.24,82.43
2000,East,Delhi,7,4,93,65.27,1.02,1.45,44.38,11.08,7.39
2000,South,Delhi,7,9,98,253.77,3.15,14.33,91.88,47.69,96.82
2000,Central,Delhi,7,6,95,15.1,0.26,2.81,11.07,0.61,0.34
2000,West,Delhi,7,7,96,122.12,0.21,3.00,80.45,27.57,10.91
2005,North,Delhi,7,2,91,69.08,2.01,4.08,35.90,23.67,3.42
2005,New Delhi,Delhi,7,5,94,38.5,0.32,8.34,23.74,4.68,1.43
2005,North West,Delhi,7,1,90,443.09,0.68,5.63,124.55,278.13,34.28
2005,North East,Delhi,7,3,92,62.52,0.83,0.62,46.06,12.33,2.69
2005,South West,Delhi,7,8,97,434.52,0.54,20.87,114.24,231.95,67.01
2005,East,Delhi,7,4,93,65.27,0.68,2.04,51.51,8.93,2.16
2005,South,Delhi,7,9,98,253.77,2.50,13.96,101.58,60.99,74.82
2005,Central,Delhi,7,6,95,15.1,0.24,1.91,11.70,0.81,0.44
2005,West,Delhi,7,7,96,122.12,0.14,2.79,81.49,31.91,5.79
2010,North,Delhi,7,2,91,69.08,2.02,15.25,40.73,10.48,0.60
2010,New Delhi,Delhi,7,5,94,38.5,0.19,13.14,20.98,3.90,0.29
2010,North West,Delhi,7,1,90,443.09,1.15,28.80,161.55,228.70,23.06
2010,North East,Delhi,7,3,92,62.52,1.47,5.04,49.67,5.44,0.91
2010,South West,Delhi,7,8,97,434.52,0.20,56.43,127.88,217.47,32.62
2010,East,Delhi,7,4,93,65.27,0.81,4.23,55.25,3.99,1.04
2010,South,Delhi,7,9,98,253.77,3.12,40.78,107.82,48.09,54.05
2010,Central,Delhi,7,6,95,15.1,0.21,3.17,11.04,0.67,0.02
2010,West,Delhi,7,7,96,122.12,0.13,10.38,88.29,21.05,2.28
2015,North,Delhi,7,2,91,69.08,2.00,3.61,43.28,17.10,3.09
2015,New Delhi,Delhi,7,5,94,38.5,0.34,7.20,24.22,5.63,1.11
2015,North West,Delhi,7,1,90,443.09,0.06,5.11,197.01,212.89,28.18
2015,North East,Delhi,7,3,92,62.52,0.34,0.34,48.86,10.76,2.23
2015,South West,Delhi,7,8,97,434.52,1.21,24.41,166.10,209.10,33.79
