date,night_lst
1/01/2003,6.454390861
2/01/2003,8.305903705
3/01/2003,5.355550191
4/01/2003,6.376146314
5/01/2003,4.319139553
6/01/2003,6.182685371
7/01/2003,3.954105398
8/01/2003,3.959411807
9/01/2003,4.133879764
10/01/2003,3.582131197
11/01/2003,4.205582885
12/01/2003,2.273752788
13/01/2003,4.07361401
14/01/2003,2.381479563
15/01/2003,2.783079627
16/01/2003,4.258686384
17/01/2003,-1.408314663
18/01/2003,2.727329704
19/01/2003,3.211748778
20/01/2003,4.798555443
21/01/2003,1.996305856
22/01/2003,5.632904541
23/01/2003,6.777353881
24/01/2003,5.946062942
25/01/2003,6.805871491
26/01/2003,8.597349611
27/01/2003,11.2828905
28/01/2003,7.694140568
29/01/2003,11.46310494
30/01/2003,7.318712709
31/01/2003,9.924095955
1/02/2003,9.537083411
2/02/2003,8.759939867
3/02/2003,8.168220721
4/02/2003,7.500822884
5/02/2003,7.144475688
6/02/2003,5.093036492
7/02/2003,10.86228424
8/02/2003,7.972785542
9/02/2003,6.736095659
10/02/2003,5.99426494
11/02/2003,5.226693671
12/02/2003,8.216954839
13/02/2003,6.460920181
14/02/2003,6.650729188
15/02/2003,7.492277847
16/02/2003,3.676487663
17/02/2003,14.84228882
18/02/2003,8.653800838
19/02/2003,8.422714182
20/02/2003,7.136718834
21/02/2003,10.30413148
22/02/2003,7.925761032
23/02/2003,11.78815055
24/02/2003,9.293289225
25/02/2003,11.67718707
26/02/2003,12.40651522
27/02/2003,13.46944919
28/02/2003,14.56744565
1/03/2003,8.094602371
2/03/2003,13.65219125
3/03/2003,3.275159149
4/03/2003,6.625430077
5/03/2003,6.500852868
6/03/2003,7.155740913
7/03/2003,8.83001003
8/03/2003,6.840211229
9/03/2003,11.90772781
10/03/2003,10.81691064
11/03/2003,10.46738066
12/03/2003,9.95081269
13/03/2003,10.6553357
14/03/2003,9.080644479
15/03/2003,11.6737392
16/03/2003,13.89933058
17/03/2003,10.4280055
18/03/2003,12.14036096
19/03/2003,11.8597132
20/03/2003,13.62487168
21/03/2003,13.80574768
22/03/2003,13.743429
23/03/2003,15.17782082
24/03/2003,13.49468622
25/03/2003,15.18039975
26/03/2003,12.6921824
27/03/2003,14.39251183
28/03/2003,14.7033668
29/03/2003,16.45355836
30/03/2003,17.44925286
31/03/2003,15.51718341
1/04/2003,16.451353
2/04/2003,7.868941428
3/04/2003,16.26822469
4/04/2003,15.25296916
5/04/2003,11.19602159
6/04/2003,14.51556112
7/04/2003,15.06001391
8/04/2003,16.3449667
9/04/2003,15.06674135
10/04/2003,18.82014134
11/04/2003,14.74742794
12/04/2003,12.31914861
13/04/2003,18.71723523
14/04/2003,16.72639465
15/04/2003,15.62340415
16/04/2003,18.51321752
17/04/2003,19.10172371
18/04/2003,11.32822677
19/04/2003,17.92242086
20/04/2003,13.54571291
21/04/2003,17.72326641
22/04/2003,18.63463517
23/04/2003,19.35661814
24/04/2003,18.25449189
25/04/2003,19.67747605
26/04/2003,20.54596135
27/04/2003,12.34980399
28/04/2003,17.44292557
29/04/2003,19.90877069
30/04/2003,21.91842896
1/05/2003,14.3368063
2/05/2003,12.34106417
3/05/2003,14.02507165
4/05/2003,9.037839897
5/05/2003,15.01130809
6/05/2003,10.05115831
7/05/2003,15.56346309
8/05/2003,16.88981677
9/05/2003,17.43647668
10/05/2003,15.14616111
11/05/2003,9.68930814
12/05/2003,18.91188742
13/05/2003,10.22413279
14/05/2003,22.4359521
15/05/2003,19.71465842
16/05/2003,20.0509918
17/05/2003,19.21590911
18/05/2003,19.28709147
19/05/2003,18.89040644
20/05/2003,16.36661545
21/05/2003,23.82262533
22/05/2003,12.50785734
23/05/2003,15.53507553
24/05/2003,15.06063007
25/05/2003,10.69057985
26/05/2003,23.18444103
27/05/2003,13.31618242
28/05/2003,23.28904982
29/05/2003,18.64018352
30/05/2003,22.79577324
31/05/2003,21.0598715
1/06/2003,22.87132484
2/06/2003,25.11813733
3/06/2003,16.77123878
4/06/2003,24.26672537
5/06/2003,15.17984018
6/06/2003,24.71297225
7/06/2003,15.96847345
8/06/2003,18.67998996
9/06/2003,19.37129425
10/06/2003,15.16949229
11/06/2003,20.48717537
12/06/2003,17.25011591
13/06/2003,25.89140956
14/06/2003,23.04839791
15/06/2003,24.53600918
16/06/2003,22.61164679
17/06/2003,22.11227562
18/06/2003,22.88642175
19/06/2003,17.60065945
20/06/2003,24.56844087
21/06/2003,22.03265329
22/06/2003,22.42432893
23/06/2003,18.62503488
24/06/2003,20.91453138
25/06/2003,23.32780861
26/06/2003,20.61116683
27/06/2003,21.92526791
28/06/2003,12.46869489
29/06/2003,21.64901752
30/06/2003,18.17808909
1/07/2003,24.21418806
2/07/2003,24.34803474
3/07/2003,24.56442161
4/07/2003,22.4708774
5/07/2003,15.88670953
6/07/2003,21.5605824
7/07/2003,16.37473901
8/07/2003,24.51726146
9/07/2003,20.52751993
10/07/2003,11.27724497
11/07/2003,20.74858344
12/07/2003,19.38159122
13/07/2003,24.03969335
14/07/2003,21.37918423
15/07/2003,24.42152057
16/07/2003,23.12902894
17/07/2003,24.93447035
18/07/2003,24.83173395
19/07/2003,24.63353628
20/07/2003,17.96491717
21/07/2003,22.00263038
22/07/2003,24.43824417
23/07/2003,24.1676531
24/07/2003,26.34464173
25/07/2003,10.09739961
26/07/2003,24.99014862
27/07/2003,20.06571038
28/07/2003,20.45620626
29/07/2003,22.82516763
30/07/2003,13.77816191
31/07/2003,22.78875788
1/08/2003,16.29452678
2/08/2003,23.59743607
3/08/2003,17.65830677
4/08/2003,23.31706047
5/08/2003,24.94051912
6/08/2003,20.88783763
7/08/2003,26.60684324
8/08/2003,21.86216897
9/08/2003,18.66114375
10/08/2003,22.25204609
11/08/2003,23.06780425
12/08/2003,22.90871427
13/08/2003,16.22973937
14/08/2003,23.21556783
15/08/2003,24.58338435
16/08/2003,24.32835793
17/08/2003,22.47595719
18/08/2003,22.85620595
19/08/2003,20.20825413
20/08/2003,21.46135073
21/08/2003,23.27881174
22/08/2003,22.17298103
23/08/2003,24.52399765
24/08/2003,19.22997563
25/08/2003,24.05037888
26/08/2003,22.56384132
27/08/2003,24.20498411
28/08/2003,24.14734162
29/08/2003,21.99953526
30/08/2003,24.37074622
31/08/2003,19.18539402
1/09/2003,23.51453412
2/09/2003,15.9122888
3/09/2003,23.43765443
4/09/2003,22.03488345
5/09/2003,20.12899384
6/09/2003,23.24216233
7/09/2003,16.53478744
8/09/2003,23.36399455
9/09/2003,19.94349706
10/09/2003,22.60731326
11/09/2003,20.00963982
12/09/2003,21.79148025
13/09/2003,23.35538138
14/09/2003,18.62549861
15/09/2003,23.14103026
16/09/2003,17.39627566
17/09/2003,22.28758345
18/09/2003,21.35162485
19/09/2003,24.7567964
20/09/2003,23.28917722
21/09/2003,21.32290636
22/09/2003,22.87062368
23/09/2003,18.37138176
24/09/2003,21.26713175
25/09/2003,17.55893116
26/09/2003,22.40910099
27/09/2003,20.13111336
28/09/2003,19.60446562
29/09/2003,19.10797231
30/09/2003,17.77568029
1/10/2003,17.79229828
2/10/2003,17.81709571
3/10/2003,19.55968824
4/10/2003,18.50545725
5/10/2003,19.42160659
6/10/2003,19.98074438
7/10/2003,20.20990356
8/10/2003,19.66017249
9/10/2003,18.25976615
10/10/2003,17.0888267
11/10/2003,14.75904803
12/10/2003,16.02468973
13/10/2003,16.26145075
14/10/2003,16.64502996
15/10/2003,15.93533624
16/10/2003,15.52436368
17/10/2003,16.88639003
18/10/2003,15.55430924
19/10/2003,16.48207601
20/10/2003,15.34238346
21/10/2003,16.10301672
22/10/2003,16.0884446
23/10/2003,16.4867448
24/10/2003,15.61274948
25/10/2003,15.34920946
26/10/2003,15.90095774
27/10/2003,14.575026
28/10/2003,16.65859718
29/10/2003,15.32067585
30/10/2003,15.20785471
31/10/2003,15.50390995
1/11/2003,13.71886929
2/11/2003,13.57587605
3/11/2003,12.19262792
4/11/2003,12.01018926
5/11/2003,14.13077048
6/11/2003,14.24193768
7/11/2003,13.3902965
8/11/2003,13.86638841
9/11/2003,11.98665993
10/11/2003,11.23033599
11/11/2003,10.92340469
12/11/2003,9.108948819
13/11/2003,8.20889854
14/11/2003,11.57441407
15/11/2003,12.74132891
16/11/2003,13.0597884
17/11/2003,12.88988662
18/11/2003,12.51101083
19/11/2003,8.225342845
20/11/2003,8.620207545
21/11/2003,6.834079238
22/11/2003,8.066866939
23/11/2003,5.740386162
24/11/2003,6.965352206
25/11/2003,6.613608566
26/11/2003,5.540600464
27/11/2003,7.36472462
28/11/2003,5.23936012
29/11/2003,6.775045288
30/11/2003,5.704924423
1/12/2003,5.03493579
2/12/2003,6.965106465
3/12/2003,7.016290441
4/12/2003,7.870850252
5/12/2003,8.503315209
6/12/2003,9.047007523
7/12/2003,9.189818861
8/12/2003,10.94915934
9/12/2003,12.76270937
10/12/2003,12.04073122
11/12/2003,12.36573546
12/12/2003,11.88218326
13/12/2003,12.50038989
14/12/2003,12.47349482
15/12/2003,14.18904044
16/12/2003,8.759996973
17/12/2003,9.598312751
18/12/2003,8.43042993
19/12/2003,6.599020225
