"","Date","rain_mm","rain_inch","month","month_num","year","season"
"1",2000-01-01,2.531,0.0996456692913386,Jan 2000,1,2000,"JFM"
"2",2000-01-06,3.257,0.128228346456693,Jan 2000,1,2000,"JFM"
"3",2000-01-11,5.434,0.213937007874016,Jan 2000,1,2000,"JFM"
"4",2000-01-16,2.515,0.0990157480314961,Jan 2000,1,2000,"JFM"
"5",2000-01-21,2.33,0.0917322834645669,Jan 2000,1,2000,"JFM"
"6",2000-01-26,5.404,0.212755905511811,Jan 2000,1,2000,"JFM"
"7",2000-02-01,5.006,0.197086614173228,Feb 2000,2,2000,"JFM"
"8",2000-02-06,4.034,0.158818897637795,Feb 2000,2,2000,"JFM"
"9",2000-02-11,4.614,0.181653543307087,Feb 2000,2,2000,"JFM"
"10",2000-02-16,3.739,0.147204724409449,Feb 2000,2,2000,"JFM"
"11",2000-02-21,3.755,0.147834645669291,Feb 2000,2,2000,"JFM"
"12",2000-02-26,2.51,0.0988188976377953,Feb 2000,2,2000,"JFM"
"13",2000-03-01,1.243,0.0489370078740158,Mar 2000,3,2000,"JFM"
"14",2000-03-06,1.105,0.043503937007874,Mar 2000,3,2000,"JFM"
"15",2000-03-11,1.252,0.0492913385826772,Mar 2000,3,2000,"JFM"
"16",2000-03-16,1.177,0.0463385826771654,Mar 2000,3,2000,"JFM"
"17",2000-03-21,4.847,0.190826771653543,Mar 2000,3,2000,"JFM"
"18",2000-03-26,1.302,0.051259842519685,Mar 2000,3,2000,"JFM"
"19",2000-04-01,0.564,0.0222047244094488,Apr 2000,4,2000,"AMJ"
"20",2000-04-06,0.458,0.0180314960629921,Apr 2000,4,2000,"AMJ"
"21",2000-04-11,1.085,0.0427165354330709,Apr 2000,4,2000,"AMJ"
"22",2000-04-16,0.4,0.015748031496063,Apr 2000,4,2000,"AMJ"
"23",2000-04-21,0.761,0.0299606299212598,Apr 2000,4,2000,"AMJ"
"24",2000-04-26,0.792,0.0311811023622047,Apr 2000,4,2000,"AMJ"
"25",2000-05-01,2.19,0.0862204724409449,May 2000,5,2000,"AMJ"
"26",2000-05-06,2.389,0.0940551181102362,May 2000,5,2000,"AMJ"
"27",2000-05-11,8.171,0.321692913385827,May 2000,5,2000,"AMJ"
"28",2000-05-16,0.417,0.0164173228346457,May 2000,5,2000,"AMJ"
"29",2000-05-21,0.806,0.0317322834645669,May 2000,5,2000,"AMJ"
"30",2000-05-26,1.689,0.066496062992126,May 2000,5,2000,"AMJ"
"31",2000-06-01,17.692,0.696535433070866,Jun 2000,6,2000,"AMJ"
"32",2000-06-06,16.723,0.658385826771654,Jun 2000,6,2000,"AMJ"
"33",2000-06-11,8.959,0.352716535433071,Jun 2000,6,2000,"AMJ"
"34",2000-06-16,10.083,0.396968503937008,Jun 2000,6,2000,"AMJ"
"35",2000-06-21,4.17,0.164173228346457,Jun 2000,6,2000,"AMJ"
"36",2000-06-26,16.298,0.641653543307087,Jun 2000,6,2000,"AMJ"
"37",2000-07-01,39.128,1.54047244094488,Jul 2000,7,2000,"JAS"
"38",2000-07-06,20.695,0.814763779527559,Jul 2000,7,2000,"JAS"
"39",2000-07-11,20.797,0.818779527559055,Jul 2000,7,2000,"JAS"
"40",2000-07-16,57.402,2.25992125984252,Jul 2000,7,2000,"JAS"
"41",2000-07-21,26.892,1.05874015748032,Jul 2000,7,2000,"JAS"
"42",2000-07-26,40.204,1.58283464566929,Jul 2000,7,2000,"JAS"
"43",2000-08-01,1.306,0.0514173228346457,Aug 2000,8,2000,"JAS"
"44",2000-08-06,11.308,0.445196850393701,Aug 2000,8,2000,"JAS"
"45",2000-08-11,35.555,1.3998031496063,Aug 2000,8,2000,"JAS"
"46",2000-08-16,28.915,1.13838582677165,Aug 2000,8,2000,"JAS"
"47",2000-08-21,23.606,0.929370078740158,Aug 2000,8,2000,"JAS"
"48",2000-08-26,33.333,1.31232283464567,Aug 2000,8,2000,"JAS"
"49",2000-09-01,8.093,0.318622047244094,Sep 2000,9,2000,"JAS"
"50",2000-09-06,16.338,0.643228346456693,Sep 2000,9,2000,"JAS"
"51",2000-09-11,3.018,0.118818897637795,Sep 2000,9,2000,"JAS"
"52",2000-09-16,4.368,0.171968503937008,Sep 2000,9,2000,"JAS"
"53",2000-09-21,6.148,0.242047244094488,Sep 2000,9,2000,"JAS"
"54",2000-09-26,6.818,0.268425196850394,Sep 2000,9,2000,"JAS"
"55",2000-10-01,1.171,0.0461023622047244,Oct 2000,10,2000,"OND"
"56",2000-10-06,1.203,0.0473622047244095,Oct 2000,10,2000,"OND"
"57",2000-10-11,1.418,0.0558267716535433,Oct 2000,10,2000,"OND"
"58",2000-10-16,1.523,0.0599606299212598,Oct 2000,10,2000,"OND"
"59",2000-10-21,1.586,0.0624409448818898,Oct 2000,10,2000,"OND"
"60",2000-10-26,1.617,0.0636614173228346,Oct 2000,10,2000,"OND"
"61",2000-11-01,0.944,0.0371653543307087,Nov 2000,11,2000,"OND"
"62",2000-11-06,0.561,0.0220866141732283,Nov 2000,11,2000,"OND"
"63",2000-11-11,0.343,0.013503937007874,Nov 2000,11,2000,"OND"
"64",2000-11-16,0.21,0.00826771653543307,Nov 2000,11,2000,"OND"
"65",2000-11-21,0.243,0.00956692913385827,Nov 2000,11,2000,"OND"
"66",2000-11-26,0.425,0.0167322834645669,Nov 2000,11,2000,"OND"
"67",2000-12-01,2.036,0.0801574803149606,Dec 2000,12,2000,"OND"
"68",2000-12-06,2.304,0.0907086614173228,Dec 2000,12,2000,"OND"
"69",2000-12-11,2.352,0.0925984251968504,Dec 2000,12,2000,"OND"
"70",2000-12-16,2.287,0.0900393700787402,Dec 2000,12,2000,"OND"
"71",2000-12-21,2.362,0.092992125984252,Dec 2000,12,2000,"OND"
"72",2000-12-26,5.237,0.206181102362205,Dec 2000,12,2000,"OND"
"73",2001-01-01,3.567,0.140433070866142,Jan 2001,1,2001,"JFM"
"74",2001-01-06,2.494,0.0981889763779528,Jan 2001,1,2001,"JFM"
"75",2001-01-11,2.412,0.0949606299212599,Jan 2001,1,2001,"JFM"
"76",2001-01-16,2.369,0.0932677165354331,Jan 2001,1,2001,"JFM"
"77",2001-01-21,3.004,0.118267716535433,Jan 2001,1,2001,"JFM"
"78",2001-01-26,2.508,0.098740157480315,Jan 2001,1,2001,"JFM"
"79",2001-02-01,1.623,0.0638976377952756,Feb 2001,2,2001,"JFM"
"80",2001-02-06,1.513,0.0595669291338583,Feb 2001,2,2001,"JFM"
"81",2001-02-11,2.15,0.0846456692913386,Feb 2001,2,2001,"JFM"
"82",2001-02-16,1.605,0.0631889763779528,Feb 2001,2,2001,"JFM"
"83",2001-02-21,4.704,0.185196850393701,Feb 2001,2,2001,"JFM"
"84",2001-02-26,0.991,0.0390157480314961,Feb 2001,2,2001,"JFM"
"85",2001-03-01,0.79,0.0311023622047244,Mar 2001,3,2001,"JFM"
"86",2001-03-06,0.963,0.0379133858267717,Mar 2001,3,2001,"JFM"
"87",2001-03-11,1.32,0.0519685039370079,Mar 2001,3,2001,"JFM"
"88",2001-03-16,1.541,0.0606692913385827,Mar 2001,3,2001,"JFM"
"89",2001-03-21,2.608,0.102677165354331,Mar 2001,3,2001,"JFM"
"90",2001-03-26,5.32,0.209448818897638,Mar 2001,3,2001,"JFM"
"91",2001-04-01,0.923,0.0363385826771654,Apr 2001,4,2001,"AMJ"
"92",2001-04-06,0.518,0.0203937007874016,Apr 2001,4,2001,"AMJ"
"93",2001-04-11,3.148,0.123937007874016,Apr 2001,4,2001,"AMJ"
"94",2001-04-16,7.136,0.280944881889764,Apr 2001,4,2001,"AMJ"
"95",2001-04-21,0.466,0.0183464566929134,Apr 2001,4,2001,"AMJ"
"96",2001-04-26,0.469,0.0184645669291339,Apr 2001,4,2001,"AMJ"
"97",2001-05-01,3.857,0.151850393700787,May 2001,5,2001,"AMJ"
"98",2001-05-06,1.279,0.0503543307086614,May 2001,5,2001,"AMJ"
"99",2001-05-11,1.631,0.0642125984251969,May 2001,5,2001,"AMJ"
"100",2001-05-16,1.489,0.0586220472440945,May 2001,5,2001,"AMJ"
"101",2001-05-21,1.161,0.0457086614173228,May 2001,5,2001,"AMJ"
"102",2001-05-26,20.237,0.796732283464567,May 2001,5,2001,"AMJ"
"103",2001-06-01,12.795,0.503740157480315,Jun 2001,6,2001,"AMJ"
"104",2001-06-06,3.793,0.149330708661417,Jun 2001,6,2001,"AMJ"
"105",2001-06-11,9.124,0.359212598425197,Jun 2001,6,2001,"AMJ"
"106",2001-06-16,7.669,0.301929133858268,Jun 2001,6,2001,"AMJ"
