,Water,Vegetation,Built-up,Agriculture,Barren
Water,34.59,2.06,5.57,12.76,14.31
Vegetation,0.27,51.2,33.49,33.95,8.11
Built-up,4.59,16.75,2549.4,228.23,131.52
Agriculture,11.29,83.42,1693.86,10343.83,157.1
Barren,12.23,50.99,478.23,354.14,416.66
