,1,2,3,4,5,Sum
1,22.3,3.5,3.1,17.7,25.1,71.7
2,3.5,142.5,46.8,137.6,38.1,368.5
3,2.1,18.1,726.5,40.8,43.7,831.3
4,18.2,89.3,347.5,11791.6,682.3,12928.9
5,18.1,52.4,246.3,1247.8,967.4,2532.1
Sum,64.3,305.9,1370.2,13235.6,1756.6,16732.5
,1,2,3,4,5,Sum
1,22.3,3.5,3.1,17.7,25.1,71.7
2,3.5,142.5,46.8,137.6,38.1,368.5
3,2.1,18.1,726.5,40.8,43.7,831.3
4,18.2,89.3,347.5,11791.6,682.3,12928.9
5,18.1,52.4,246.3,1247.8,967.4,2532.1
Sum,64.3,305.9,1370.2,13235.6,1756.6,16732.5
