,1,2,3,4,5,Sum
1,30.7,1.4,3,11.4,17.8,64.2
2,2,127.9,40.3,77.4,58.4,306
3,1.4,13.2,1161,117.8,76.9,1370.3
4,17,113.3,135.1,12697.9,277.5,13240.8
5,18.9,37.7,218.6,607.9,873.2,1756.3
Sum,69.9,293.5,1558,13512.3,1303.9,16737.6
