,1,2,3,4,5,Sum
1,23.8,3,5.1,15.7,20.1,67.6
2,0.7,87.3,35.8,41.1,11.4,176.2
3,3.3,18.8,1592.6,76,37.6,1728.3
4,23.7,111.2,466.9,12429.3,421.2,13452.3
5,11.6,63.3,340.6,319.8,580.9,1316.3
Sum,63.1,283.6,2441,12881.9,1071.2,16740.7
