,1,2,3,4,5,Sum
1,27,1,3.6,24.2,14.1,69.9
2,1.5,103.6,32.2,112.7,43.5,293.5
3,2.6,14.4,1332.4,127.5,81,1557.9
4,18.5,29.3,168.8,12842.7,455.1,13514.4
5,18,27.8,191.3,344,722.7,1303.8
Sum,67.5,176.1,1728.2,13451.1,1316.4,16739.4
