,,,1995,,,,
,,Water,Vegetation,Builtup,Agriculture,Barren,Sum
,Water,43.3,1.2,1.5,3.5,7.3,56.7
,Vegetation,8.1,275,11.7,64.2,12,371
1990,Builtup,0.9,15.4,646.3,80.6,36.4,779.7
,Agriculture,9.3,55.3,93.7,12174.9,804.2,13137.4
,Barren,10.1,21.8,78.1,605,1671.4,2386.3
,Sum,71.7,368.5,831.2,12928.3,2531.4,16731.2
