,0,1,2,3,4,5,Sum
1,0.2,34,2.6,4.4,13.5,14.7,69.5
2,0,0.2,63.9,16.1,37.2,9.6,127.1
3,0.7,4.3,33.1,2346.5,351,195.6,2931.2
4,10,11.2,115.5,444.1,11540.5,178.2,12299.5
5,0.9,12.1,65.6,303.8,448.3,482.5,1313.2
Sum,11.9,61.9,280.6,3114.9,12390.5,880.7,16740.4
,1,2,3,4,5,Sum
1,34,2.6,4.4,13.5,14.7,69.3
2,0.2,63.9,16.1,37.2,9.6,127
3,4.3,33.1,2346.5,351,195.6,2930.5
4,11.2,115.5,444.1,11540.5,178.2,12289.5
5,12.1,65.6,303.8,448.3,482.5,1312.3
Sum,61.9,280.6,3114.9,12390.5,880.7,16728.6
