,1,2,3,4,5,Sum
1,34.7,0.3,4.6,11.3,12.2,63.1
2,2.6,64.4,34.2,116.1,66.4,283.7
3,3,11.8,2167.6,107.7,151.1,2441.1
4,14.1,39.4,468.1,11852.3,504.7,12878.5
5,15,11.1,256.4,210,578.3,1070.8
Sum,69.4,127.1,2930.8,12297.4,1312.6,16737.3
