year,dist,area_km,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_5
2010,0-10,313.84,1836,10038,69374,4491,1466
2010,10-20,941.51,2987,12426,148313,48575,49319
2010,20-30,1569.18,1274,5893,96222,242770,89899
2010,30-40,2196.84,2327,4423,53617,472307,77779
2010,40-50,2824.48,1121,4021,30950,613709,51600
2010,50-60,3452.1,626,1218,29211,666360,18281
2010,60-70,4079.69,1096,2484,30734,626065,20895
2010,70-80,4707.26,247,734,11925,473000,10916
2010,80-90,5334.79,618,1730,7020,382346,16676
2010,90-100,5962.28,4378,5269,2331,155702,17506
2010,100-110,6589.72,2264,722,422,50923,10956
