year,dist,area_km,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_5
2020,0-10,313.84,1771,8404,69740,4435,2855
2020,10-20,941.51,3076,8239,184491,30937,34877
2020,20-30,1569.18,1730,3760,164720,186188,79660
2020,30-40,2196.84,2297,2546,125911,396331,83368
2020,40-50,2824.48,1293,3039,77370,552605,66904
2020,50-60,3452.1,633,802,67526,613890,32713
2020,60-70,4079.69,1334,3122,64702,586910,24942
2020,70-80,4707.26,213,1567,30973,452589,11271
2020,80-90,5334.79,762,1491,20513,370970,14448
2020,90-100,5962.28,4358,1089,6769,163799,9096
2020,100-110,6589.72,1793,1213,1482,56249,4551
