year,dist,area_km,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_5
2000,0-10,313.84,2013,13823,62972,3084,5313
2000,10-20,941.51,3455,16472,113253,56577,71863
2000,20-30,1569.18,1590,10652,57309,265502,101005
2000,30-40,2196.84,2297,7821,30475,484344,85516
2000,40-50,2824.48,1253,6767,25427,606859,61080
2000,50-60,3452.1,1254,3673,27121,652695,30922
2000,60-70,4079.69,1140,7244,33510,604604,34674
2000,70-80,4707.26,221,3337,15991,449771,27419
2000,80-90,5334.79,159,7600,10305,361861,28275
2000,90-100,5962.28,2983,6126,3680,147337,24830
2000,100-110,6589.72,1489,1516,623,45054,16608
