year,dist,area_km,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_5
1990,0-10,313.84,2364,15206,55782,9383,4470
1990,10-20,941.51,2897,15701,53316,91125,98581
1990,20-30,1569.18,959,7117,26756,295907,105319
1990,30-40,2196.84,1396,7066,14151,467856,119984
1990,40-50,2824.48,1327,7675,14842,576930,100347
1990,50-60,3452.1,683,5420,13982,648393,46976
1990,60-70,4079.69,1341,12082,17576,589515,60422
1990,70-80,4707.26,92,8316,9213,443136,35693
1990,80-90,5334.79,158,10631,7145,344931,45327
1990,90-100,5962.28,2446,12271,2954,137672,29640
1990,100-110,6589.72,2071,1633,700,44654,16166
