year,dist,area_km,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_5
2015,0-10,313.84,1879,11012,70351,2854,1109
2015,10-20,941.51,3053,14858,176333,32387,34989
2015,20-30,1569.18,1393,10899,136695,206826,80245
2015,30-40,2196.84,2527,7920,87900,443153,68953
2015,40-50,2824.48,1139,7961,54862,586070,51391
2015,50-60,3452.1,856,5237,50749,643724,15113
2015,60-70,4079.69,1358,5861,53999,608947,11037
2015,70-80,4707.26,445,7878,23747,459092,5596
2015,80-90,5334.79,1619,4461,17163,380361,4747
2015,90-100,5962.28,2013,2507,5343,158482,16755
2015,100-110,6589.72,1261,215,994,55204,7670
