year,dist,area_km,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_5
1995,0-10,313.84,2077,16136,57507,6734,4751
1995,10-20,941.51,3187,17673,68608,66403,105749
1995,20-30,1569.18,1218,8591,31997,254770,139482
1995,30-40,2196.84,2313,7431,15432,475335,109942
1995,40-50,2824.48,1624,7177,13819,584201,94417
1995,50-60,3452.1,1205,5219,12182,633159,63655
1995,60-70,4079.69,3073,9300,15614,591845,60978
1995,70-80,4707.26,163,6457,7467,447791,34600
1995,80-90,5334.79,473,10688,5259,354673,37034
1995,90-100,5962.28,3101,12235,2595,137987,29025
1995,100-110,6589.72,1470,1496,433,38945,22798
