"Period","From","To","km2","QtPixel","Interval"
"2010-2015","Vegetation","Crop",41.058,11405,5
"2010-2015","Vegetation","Barren",11.3364,3149,5
"2010-2015","Builtup","Water",3.2868,913,5
"2010-2015","Builtup","Vegetation",18.8244,5229,5
"2010-2015","Builtup","Builtup",1592.0712,442242,5
"2010-2015","Builtup","Crop",75.9636,21101,5
"2010-2015","Builtup","Barren",37.6164,10449,5
"2010-2015","Crop","Water",23.6052,6557,5
"2010-2015","Crop","Vegetation",111.1356,30871,5
"2010-2015","Crop","Builtup",466.6032,129612,5
"2010-2015","Crop","Crop",12408.9984,3446944,5
"2010-2015","Crop","Barren",420.84,116900,5
"2010-2015","Barren","Water",11.574,3215,5
"2010-2015","Barren","Vegetation",63.3384,17594,5
"2010-2015","Barren","Builtup",340.5636,94601,5
"2010-2015","Barren","Crop",319.0788,88633,5
"2010-2015","Barren","Barren",579.7944,161054,5
"2015-2020","Water","Water",34.524,9590,5
"2015-2020","Water","Vegetation",0.27,75,5
"2015-2020","Water","Builtup",4.5828,1273,5
"2015-2020","Water","Crop",11.2572,3127,5
"2015-2020","Water","Barren",12.1572,3377,5
"2015-2020","Vegetation","Water",2.5956,721,5
"2015-2020","Vegetation","Vegetation",64.4292,17897,5
"2015-2020","Vegetation","Builtup",34.1676,9491,5
"2015-2020","Vegetation","Crop",115.8912,32192,5
"2015-2020","Vegetation","Barren",66.33,18425,5
"2015-2020","Builtup","Water",2.9844,829,5
"2015-2020","Builtup","Vegetation",11.7936,3276,5
"2015-2020","Builtup","Builtup",2166.6636,601851,5
"2015-2020","Builtup","Crop",107.6724,29909,5
"2015-2020","Builtup","Barren",150.9768,41938,5
"2015-2020","Crop","Water",14.0724,3909,5
"2015-2020","Crop","Vegetation",39.3804,10939,5
"2015-2020","Crop","Builtup",467.9568,129988,5
"2015-2020","Crop","Crop",11834.9748,3287493,5
"2015-2020","Crop","Barren",504.3816,140106,5
"2015-2020","Barren","Water",14.9868,4163,5
"2015-2020","Barren","Vegetation",11.142,3095,5
"2015-2020","Barren","Builtup",256.338,71205,5
"2015-2020","Barren","Crop",209.682,58245,5
"2015-2020","Barren","Barren",577.3824,160384,5
