year,dist,area_km,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_5
1995,0-10,313.84,2077,16136,57507,6734,4751
1995,10-20,941.51,3187,17673,68608,66403,105749
1995,20-30,1569.18,1218,8591,31997,254770,139482
1995,30-40,2196.84,2313,7431,15432,475335,109942
1995,40-50,2523.16,1624,7177,13817,583976,94289
1995,50-60,2574.56,1204,5216,12182,632874,63644
1995,60-70,2449.42,3069,9299,15611,591312,60918
1995,70-80,1785.69,163,6457,7463,447279,34537
1995,80-90,1467.42,469,10687,5257,354111,37007
1995,90-100,664.3,3093,12219,2595,137452,28986
1995,100-110,234.61,1470,1490,433,38843,22740
