year,dist,area_km,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_5
2000,0-10,313.84,2013,13823,62972,3084,5313
2000,10-20,941.51,3455,16472,113253,56577,71863
2000,20-30,1569.18,1590,10652,57309,265502,101005
2000,30-40,2196.84,2297,7821,30475,484344,85516
2000,40-50,2523.16,1253,6763,25424,606585,60970
2000,50-60,2574.56,1254,3669,27112,652368,30919
2000,60-70,2449.42,1140,7243,33504,603950,34641
2000,70-80,1785.69,221,3337,15984,449145,27402
2000,80-90,1467.42,159,7600,10302,361257,28249
2000,90-100,664.3,2978,6109,3678,146802,24780
2000,100-110,234.61,1488,1513,623,44897,16562
