year,dist,area_km,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_5
2010,0-10,313.84,1836,10038,69374,4491,1466
2010,10-20,941.51,2987,12426,148313,48575,49319
2010,20-30,1569.18,1274,5893,96222,242770,89899
2010,30-40,2196.84,2327,4423,53617,472307,77779
2010,40-50,2523.16,1121,4018,30943,613398,51518
2010,50-60,2574.56,626,1212,29200,666030,18280
2010,60-70,2449.42,1092,2484,30729,625364,20894
2010,70-80,1785.69,247,734,11920,472339,10914
2010,80-90,1467.42,617,1728,7018,381700,16667
2010,90-100,664.3,4365,5267,2330,155093,17470
2010,100-110,234.61,2260,719,421,50750,10937
