year,dist,area_km,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_5
2020,0-10,313.84,1771,8404,69740,4435,2855
2020,10-20,941.51,3076,8239,184491,30937,34877
2020,20-30,1569.18,1730,3760,164720,186188,79660
2020,30-40,2196.84,2297,2546,125911,396331,83368
2020,40-50,2523.16,1293,3039,77337,552360,66828
2020,50-60,2574.56,632,802,67513,613586,32712
2020,60-70,2449.42,1334,3121,64689,586314,24927
2020,70-80,1785.69,213,1567,30965,451981,11265
2020,80-90,1467.42,762,1491,20502,370382,14438
2020,90-100,664.3,4340,1089,6766,163205,9076
2020,100-110,234.61,1793,1212,1479,56064,4539
