year,dist,area_km,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_5
2015,0-10,313.84,1879,11012,70351,2854,1109
2015,10-20,941.51,3053,14858,176333,32387,34989
2015,20-30,1569.18,1393,10899,136695,206826,80245
2015,30-40,2196.84,2527,7920,87900,443153,68953
2015,40-50,2523.16,1139,7959,54841,585776,51306
2015,50-60,2574.56,855,5228,50738,643407,15113
2015,60-70,2449.42,1356,5860,53984,608276,11027
2015,70-80,1785.69,445,7877,23743,458436,5596
2015,80-90,1467.42,1618,4457,17159,379730,4745
2015,90-100,664.3,2003,2507,5341,157881,16727
2015,100-110,234.61,1260,215,993,55011,7659
