year,dist,area_km,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_5
1990,0-10,313.84,2364,15206,55782,9383,4470
1990,10-20,941.51,2897,15701,53316,91125,98581
1990,20-30,1569.18,959,7117,26756,295907,105319
1990,30-40,2196.84,1396,7066,14151,467856,119984
1990,40-50,2523.16,1327,7674,14840,576764,100167
1990,50-60,2574.56,683,5413,13982,648134,46954
1990,60-70,2449.42,1339,12081,17575,588936,60371
1990,70-80,1785.69,92,8316,9208,442633,35625
1990,80-90,1467.42,158,10626,7143,344375,45286
1990,90-100,664.3,2445,12260,2952,137170,29550
1990,100-110,234.61,2071,1626,700,44527,16115
